        1920          40  1.00000000000000002E-002   1.6000000000000001       0.52000000000000002       2.00000000000000004E-002          80          25  2.00000000000000004E-002   0.0000000000000000                1
  8.78365671634674140E-003  0.43829122439456103       2.73985199000792434E-003  6.88569735330689044E-007
  0.74394298261553782       2.88967185424128803E-002 -3.87033142756898485E-004  1.96367873087077704E-003  2.54659164526934954E-002
  9.17943704128265474E-003 -0.23040561016619732      -0.12074485717869510       8.58324276804516524E-007
  0.76083928478414176       2.19199633707293784E-002 -6.76036787106149006E-004  2.99492986410854201E-003  2.50748452120401789E-002
  9.13220596313476726E-003  0.19030271865148565       1.09321701148579198E-002  8.36468609551640486E-007
  0.79999889685435577       2.11240408442566717E-002  3.92793213455089329E-003 -2.16452206801970304E-002  2.49578689244024064E-002
  9.11798298358917209E-003 -0.57458264389510239      -0.23418484393911143       8.29975066055282843E-007
  0.81353457092948034       3.29681434271411472E-002  4.20140320978035220E-003  3.61940445964964441E-003  2.33254395850248306E-002
  8.91468954086303833E-003  0.93184017343734271       0.13206975870261317       7.41484837886906881E-007
  0.83030179374539437       2.70207911963318212E-002  1.62169513095999918E-003  3.51720990493867292E-003  2.34261837618425610E-002
  8.92750549316406392E-003 -0.53761781755135352       1.38454298564960609E-002  7.46830058571864524E-007
  0.84841187599201540       2.68290887754448447E-002 -3.69484963624877594E-003  2.36824997687165584E-003  2.59595130955458733E-002
  9.23836517333984433E-003  0.31120527848594270       0.11390695374091653       8.86230686523015967E-007
  0.88001817140720828       2.06810810784049184E-002  1.42455229557025831E-003 -9.82961335712490003E-004  2.23826427120106634E-002
  8.79292559623718294E-003 -1.11882371834346375E-002 -8.94591228812850747E-002  6.92210448005740461E-007
  0.89586965948279285       2.86719154080341994E-002  2.13962297324066242E-004  8.32275576581609222E-005  2.39479972160014064E-002
  8.99330544471740705E-003  0.15402751601438955      -6.04213420546395596E-004  7.74761226532933474E-007
  0.91376398155297411       2.57069732043437756E-002 -2.68304228834281844E-004  2.05396744751284999E-005  2.53416714890354125E-002
  9.16448426246643105E-003 -0.36454293873347521      -1.24522852479325152E-002  8.51356208790207072E-007
  0.93166756609849610       2.76183599660870908E-002  2.15455426277877393E-004 -9.72131902234052436E-005  2.29326956266804986E-002
  8.86437213420867946E-003  0.64563518982721746      -4.35513574370549605E-003  7.20793825860727130E-007
  0.94811046285780276       3.41976529955695108E-002  2.96853187031764776E-004 -3.75570690727689005E-004  2.28741522131864043E-002
  8.85682260990142828E-003 -0.35805357335460841       1.26897216959354076E-002  7.17729655420410749E-007
  0.96000850340352895       2.09522434379438918E-002  1.66918207589183965E-004 -2.05579077268425170E-004  2.37788305329050299E-002
